tag,package name or git url,purpose
,xorg-server,Graphical server currently still superior to Wayland in some ways
,xorg-xinit,Starts the graphical server
,xorg-xprop,Property displayer for X
a,i3-gaps,Tiling window manager
,picom,Composition manager (for transparency;blur... etc)
a,polybar,Status bar
,kitty,Terminal emulator
a,ulauncher,Default application launcher
,rofi,Power menu run dialog
a,sflock-git,Simple screen locker

,pipewire,Next generation audio/video router system
,pipewire-pulse,For pulse compatibility
,wireplumber,A more robust session manager implementation for PipeWire

,ttf-dejavu,Default font for terminal emulator & some gui apps
,ttf-roboto,General purpose font that is used in some GUI apps (VS Code to name at least one)
,ttf-unifont,Font for unicode characters (especially chinese & cyrilic)
,terminus-font,Font for tty (set via vconsole.conf)
,ttf-fantasque-sans-mono,Font for Polybar;Rofi... custom GUIs in general
a,ttf-material-design-icons-extended,Only font that actually works properly in all programs (Polybar;Rofi... etc)
a,ttf-ms-win10-auto,Various native Windows fonts; Warning installation of this package is extremely long

a,palenight-gtk-theme,GTK GUI theme
,gtk-engines,GTK2 support for themes

,libnotify,Library for seding desktop notifications
a,deadd-notification-center-bin,Notification daemon & centre for past notifications
,udiskie,udisks2 daemon for automounting & other useful features (notifications;rootless mounting... etc)
a,udev-block-notify,Notification daemon for udev block events (partition changes;new block devices... etc)
,network-manager-applet,Applet for managing network connections
,nm-connection-editor,NetworkManager GUI connection editor and widgets
,playerctl,CLI media player controller and library for i3 bindings & other programs
a,unclutter-xfixes-git,A daemon that hides the mouse after a specified period - with xfixes applied




